State,St_Code,Year,NDVI,Tr_State,Post,DiD,Rainfall_June,RainyDays_June,Rainfall_May,RainyDays_May,Rainfall_P1,RainyDays_P1,Rainfall_P2,RainyDays_P2,Temp_June,Temp_May,Temp_P1,Temp_P2,Time_To_Treatment,Log_NDVI,Log_Rainfall_June,Log_Rainfall_May,Log_Temp_June,Log_Temp_May,GSDP,AgGDP,Population,SoD,RiceT,RiceK
Bihar,2,2009,0.4290183,0,1,0,127.640173,30,170.356026,31,5.916964909,38,9.224701027,35,305.3786643,303.5372894,301.6122663,297.2293015,0,-0.846255704,4.849215157,5.137890518,5.721552529,5.715504467,NA,NA,NA,NA,3124.04,525.89
Bihar,2,2010,0.432854286,0,1,0,152.3847488,30,82.32680582,31,8.84779203,35,54.14281727,41,305.2311513,304.8523174,303.47336,298.1402285,1,-0.83735413,5.026408564,4.410696763,5.721069363,5.719827454,NA,NA,NA,NA,NA,NA
Bihar,2,2011,0.450945702,0,1,0,310.4645692,30,84.84208039,31,23.47777877,41,21.71380683,37,303.3183233,303.7377984,300.393562,297.1033383,2,-0.796408341,5.738069786,4.440791651,5.714782826,5.716164824,NA,NA,NA,NA,NA,NA
Bihar,2,2012,0.415256333,0,1,0,145.8893893,30,13.76572226,31,21.25161365,41,14.84249212,29,306.1400013,306.3828061,300.1105876,296.3260729,3,-0.87885928,4.982848727,2.622181608,5.724042518,5.724835321,NA,NA,NA,NA,NA,NA
Bihar,2,2013,0.460768538,0,1,0,265.3032066,30,121.7132708,31,16.30853326,32,113.9929386,35,303.0962887,304.2165826,301.302501,296.2647134,4,-0.774859449,5.580873348,4.801668039,5.714050539,5.71773989,NA,NA,NA,NA,NA,NA
Bihar,2,2014,0.424498539,0,1,0,170.7594162,30,99.20049557,31,3.125342659,35,57.42090074,40,304.8423763,304.8675135,300.8575924,296.6471561,5,-0.856846715,5.140255643,4.59714301,5.719794844,5.7198773,NA,NA,NA,NA,NA,NA
Bihar,2,2015,0.427110032,0,1,0,183.4091992,30,46.90814953,31,65.7265202,39,24.12271717,41,304.8390467,304.9325903,299.8842007,297.8474541,6,-0.850713613,5.211719718,3.848191424,5.719783921,5.720090737,NA,NA,NA,NA,NA,NA
Bihar,2,2016,0.444448324,0,1,0,202.9894119,30,96.26152981,31,22.04042877,35,5.175810774,36,304.2925963,303.5548935,302.2223944,297.4825515,7,-0.810921487,5.31315382,4.567068756,5.717989726,5.715562463,NA,NA,NA,NA,NA,NA
Chhattisgarh,3,2002,0.441378433,0,0,0,225.4065563,30,9.447038078,28,17.89370203,41,36.84674446,37,302.4385023,307.0128358,302.3353871,296.6084259,-7,-0.817852647,5.417905689,2.245701261,5.711877959,5.726889557,NA,NA,NA,NA,3777.66,3777.66
Chhattisgarh,3,2003,0.491873397,0,0,0,188.2908672,30,0.819000288,27,37.2303203,40,95.00694241,41,304.4934297,307.3983013,301.9781154,296.359932,-6,-0.709533919,5.237987933,-0.199670843,5.718649509,5.728144305,NA,NA,NA,NA,3828.99,3828.99
Chhattisgarh,3,2004,0.475386579,0,0,0,242.5070872,30,24.71623941,31,13.34291264,31,20.28424656,35,302.0122717,305.5647377,303.4353959,296.0316107,-5,-0.743626955,5.491030935,3.207460494,5.710467651,5.722161664,4786229,705744,NA,20,3843.87,3843.87
Chhattisgarh,3,2005,0.441580466,0,0,0,184.7492959,30,18.36765951,27,9.657118249,39,83.63164625,32,305.3870667,305.9788245,302.206791,295.7894629,-4,-0.81739502,5.218999749,2.910591483,5.721580043,5.723515899,4940774,890805,NA,NA,3854.37,3854.37
Chhattisgarh,3,2006,0.486094166,0,0,0,127.4443445,30,66.91004809,31,40.43049926,41,46.84462062,40,303.2659933,304.2430239,301.0394461,296.7804773,-3,-0.721352917,4.847679756,4.203349152,5.714610286,5.717826803,5859816,967892,23189.5,NA,3905.34,3905.34
Chhattisgarh,3,2007,0.448173708,0,0,0,297.142633,30,15.66469653,31,28.93626749,30,18.39926224,34,302.9509183,305.6962732,301.9522232,296.3529356,-2,-0.802574381,5.694212269,2.751409552,5.713570807,5.722592038,6364377,1295565,NA,NA,3902.9,3902.9
